Nome|Difficolta|Costo|Diete|Ingredienti

Panini cinesi al vapore (mantou)|Facile|Basso||Farina di frumento; Acqua; Zucchero; Lievito di birra secco; 

Pane cafone|Media||Senza lattosio; Vegetariano; Light; |Lievito madre; Farina 0; Acqua; Farina 0; Acqua; Semola di grano duro rimacinata; Acqua; Sale fino; Farina 0; 

Focaccia Veneta|Molto difficile|Basso|Vegetariano; |Farina; Zucchero; Latte intero; Lievito di birra secco; Farina; Zucchero; Uova; Burro; Farina; Zucchero; Uova; Burro; Farina; Zucchero; Uova; Sale fino; Baccello di vaniglia; Scorza d'arancia; Scorza di limone; Rum bianco; Burro; Albumi; Zucchero a velo; Granella di zucchero; 

Crescione|Media|Medio||Strutto; Farina 00; Bicarbonato; Sale fino; Acqua; Spinaci; Bietole; Cipolle bianche; Olio extravergine d'oliva; Sale fino; Pepe nero; Patate; Luganega; Sale fino; Pepe nero; Mozzarella; Passata di pomodoro; Olio extravergine d'oliva; Origano; Sale fino; 

Panini integrali|Facile|Basso|Senza lattosio; Vegetariano; |Farina Manitoba; Farina integrale; Acqua; Sale fino; Lievito di birra secco; Semi di lino; Olio extravergine d'oliva; Semi di lino; 

Focaccia integrale|Media|Basso|Senza lattosio; Vegetariano; |Acqua; Farina integrale; Farina Manitoba; Lievito di birra secco; Miele; Olio extravergine d'oliva; Sale fino; Olio extravergine d'oliva; Olio extravergine d'oliva; Sale grosso; Rosmarino; 

Ciabatta|Facile||Senza lattosio; Vegetariano; |Farina Manitoba; Farina 00; Acqua; Lievito di birra secco; Farina Manitoba; Farina 00; Acqua; Lievito di birra secco; Malto; Sale fino; Semola di grano duro rimacinata; 

Pizza arrotolata (pizza Stromboli)|Facile|Basso||Acqua; Farina 00; Olio extravergine d'oliva; Sale fino; Lievito di birra secco; Malto; Passata di pomodoro; Mozzarella; Olive nere; Salame piccante; Acciughe sott'olio; Capperi sott'olio; Origano; Basilico; Olio extravergine d'oliva; Sale fino; 

Baguette con lievito madre|Media|Molto basso|Senza lattosio; Vegetariano; |Farina 0; Farina 00; Acqua; Lievito madre; Lievito di birra fresco; Sale fino; Farina 0; Acqua; Lievito di birra fresco; 

Pane alle olive|Media||Senza lattosio; Vegetariano; Light; |Farina Manitoba; Acqua; Lievito di birra fresco; Sale fino; Farina Manitoba; Acqua; Malto; Lievito di birra fresco; Olio di semi di mais; Sale fino; Olive verdi; 

Ciambelle soffici al forno|Media|Medio|Vegetariano; |Burro; Farina 00; Uova; Tuorli; Latte intero; Lievito di birra secco; Miele; Zucchero; Cannella in polvere; Sale fino; Albumi; Granella di pistacchi; Granella di zucchero; 

Pane di segale|Media||Senza lattosio; Vegetariano; |Farina di segale; Farina Manitoba; Acqua; Lievito di birra secco; Malto; Sale fino; 

Angelica salata alla birra|Difficile|Basso||Farina Manitoba; Acqua; Lievito di birra secco; Malto; Birra chiara; Farina Manitoba; Burro; Parmigiano Reggiano DOP; Tuorli; Sale fino; Pomodori secchi; Salame; Feta; Olive verdi; Olive nere; Olio extravergine d'oliva; 

Bagel|Media|Molto basso|Senza lattosio; Vegetariano; |Acqua; Farina 0; Sale fino; Lievito di birra secco; Malto; Semi di sesamo; 

Scaccia|Facile|Basso|Vegetariano; |Semola; Acqua; Olio extravergine d'oliva; Lievito di birra fresco; Sale fino; Caciocavallo; Passata di pomodoro; Cipolle bianche; Prezzemolo; Sale fino; Pepe nero; Olio extravergine d'oliva; 

Panini alla curcuma|Difficile|Basso|Vegetariano; |Farina Manitoba; Farina 00; Lievito di birra secco; Zucchero; Sale fino; Latte intero; Burro; Curcuma in polvere; Olive riviera; Uva sultanina; 

Pane alle noci|Media|Basso|Senza lattosio; Vegetariano; |Farina integrale; Farina di farro; Farina di grano saraceno; Gherigli di noci; Acqua; Lievito di birra secco; Sale fino; 

Girelle di pan brioche|Facile|Basso|Vegetariano; |Farina 00; Burro; Zucchero; Latte intero; Uova; Lievito di birra fresco; Sale fino; Nutella; Formaggio fresco spalmabile; 

Pane pugliese|Difficile|Basso|Senza lattosio; Vegetariano; Light; |Acqua; Farina 00; Lievito di birra fresco; Semola; Lievito di birra fresco; Acqua; Miele; Sale fino; 

Chapati|Molto facile|Molto basso|Senza lattosio; Vegetariano; |Farina per chapati; Acqua; Sale fino; 

Hot dog|Facile|Molto basso||Latte intero; Farina 00; Zucchero; Sale fino; Burro; Lievito di birra secco; Acqua; Wurstel; Salsa ketchup; Maionese; 

Cartocci di pizza|Molto facile|Basso||Pasta per la pizza; Salame piccante; Pomodori secchi sott'olio; Caciocavallo; Ricotta vaccina; Olive nere; Basilico; Olio extravergine d'oliva; 

Sardenaira|Facile|Medio|Senza lattosio; |Farina 00; Acqua; Olio extravergine d'oliva; Lievito di birra fresco; Sale fino; Polpa di pomodoro; Acciughe sotto sale; Olive taggiasche; Capperi sotto sale; Aglio; Olio extravergine d'oliva; Origano; Olio extravergine d'oliva; 

Treccia alla Nutella|Facile|Basso|Vegetariano; |Farina Manitoba; Farina 00; Lievito di birra secco; Zucchero; Latte intero; Burro; Sale fino; Nutella; Granella di nocciole; Uova; 

Focaccia ripiena pizzicata|Media|Basso||Uova; Farina 00; Latte di kefir; Latte intero; Zucchero; Lievito di birra secco; Olio di semi; Sale fino; Caciocavallo; Emmentaler; Prosciutto cotto; Nduja; Uova; 

Pretzel buns|Facile|Molto basso|Vegetariano; |Acqua; Bicarbonato; Sale fino; Lievito di birra secco; Burro; Farina 00; Uova; 

Pan Mattino|Facile|Basso|Vegetariano; |Farina Manitoba; Farina 00; Latte intero; Burro; Miele di acacia; Lievito di birra fresco; Zucchero; Sale fino; Uova; Latte intero; Zucchero a velo; Granella di zucchero; 

Pane alla zucca|Media|Basso|Senza lattosio; Vegetariano; |Lievito di birra secco; Farina 00; Zucca; Malto; Olio extravergine d'oliva; Sale fino; Semi di zucca; Acqua; Rosmarino; 

Baba' salato|Media||Farina Manitoba; Latte intero; Lievito di birra secco; Farina Manitoba; Burro; Panna fresca liquida; Uova; Prosciutto cotto; Salame; Provola; Olive di Gaeta; Fontina; Pecorino; Sale fino; Zucchero; Rosmarino; Timo; Origano; Erba cipollina; Burro; 

Panini di ricotta sardi|Media|Medio|Vegetariano; |Ricotta di pecora; Semola di grano duro rimacinata; Farina 00; Acqua; Lievito di birra fresco; Sale fino; 

Focaccia con capperi, rosmarino e olive taggiasche|Facile||Senza lattosio; Vegetariano; |Acqua; Sale fino; Lievito di birra fresco; Malto; Farina Manitoba; Olio extravergine d'oliva; Farina 00; Olio extravergine d'oliva; Fiocchi di sale; Frutti di cappero sott'aceto; Olive taggiasche; Rosmarino; 

Danubio vegetariano|Media|Medio|Vegetariano; |Farina Manitoba; Latte intero; Olio extravergine d'oliva; Zucchero; Sale fino; Uova; Lievito di birra secco; Spinaci; Aglio; Olio extravergine d'oliva; Ricotta; Sale fino; Pomodori secchi sott'olio; Ricotta salata; Funghi champignon; Caciotta romana; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Pan brioche alla zucca|Media|Basso|Vegetariano; |Farina Manitoba; Farina 00; Zucca; Latte intero; Burro; Uova; Zucchero; Lievito di birra secco; Sale fino; Uvetta; Baccello di vaniglia; Tuorli; Panna fresca liquida; 

Puccia salentina|Media|Basso|Senza lattosio; Vegetariano; |Farina 0; Acqua; Lievito di birra secco; Malto; Olio extravergine d'oliva; Sale; 

Iris|Difficile|Basso|Vegetariano; |Latte intero; Farina 00; Zucchero; Uova; Lievito di birra secco; Burro; Ricotta di pecora; Zucchero a velo; Ricotta vaccina; Zucchero a velo; Gocce di cioccolato fondente; Uova; Pangrattato; Olio di semi di arachide; 

Soda bread|Molto facile||Vegetariano; |Farina Manitoba; Farina integrale; Latte intero; Sale fino; Bicarbonato; 

Pizza rustica|Facile|Basso||Farina 0; Acqua; Olio extravergine d'oliva; Sale fino; Zucchero; Lievito di birra secco; Pomodorini ciliegino; Provola; Olive nere; Acciughe sott'olio; Basilico; Origano; Aglio; Olio extravergine d'oliva; Uova; Latte intero; 

Pizza Romana|Facile|Basso||Farina 0; Acqua; Lievito di birra secco; Sale fino; Olio extravergine d'oliva; Passata di pomodoro; Fiordilatte; Origano; Olio extravergine d'oliva; Acciughe sott'olio; Sale fino; 

Focaccia ripiena di cavolo e speck|Facile|Basso||Acqua; Farina 0; Latte intero; Burro; Olio extravergine d'oliva; Sale fino; Lievito di birra secco; Zucchero; Cavolo cappuccio; Speck; Brodo vegetale; Parmigiano Reggiano DOP; Sale fino; Pepe nero; Uova; 

Pizza alla napoletana|Media|Basso|Senza lattosio; |Farina 0; Acqua; Lievito di birra secco; Sale fino; Olio extravergine d'oliva; Passata di pomodoro; Frutti di cappero ; Acciughe sott'olio; Olio extravergine d'oliva; Sale fino; Origano; Pepe nero; 

Torta salata di rose|Media|Medio||Latte intero; Farina 00; Acqua; Lievito di birra secco; Sale fino; Olio extravergine d'oliva; Bietole; Prosciutto cotto; Edamer; Olio extravergine d'oliva; Aglio; Sale fino; Pepe nero; 

Friselle|Difficile|Molto basso|Senza lattosio; Vegetariano; |Farina 00; Acqua; Lievito di birra fresco; Semola; Farina 00; Acqua; Sale fino; 

Focaccia di farro|Media|Basso|Senza lattosio; Vegetariano; |Farina di farro integrale; Farina Manitoba; Acqua; Sale fino; Lievito di birra fresco; Olio extravergine d'oliva; Sale grosso; Rosmarino; Fiocchi di avena; Olio extravergine d'oliva; Acqua; 

Treccia al pesto|Media|Basso|Vegetariano; Senza lattosio; |Farina 00; Semola di grano duro rimacinata; Acqua; Olio extravergine d'oliva; Sale fino; Patate; Lievito di birra fresco; Basilico; Olio extravergine d'oliva; Pinoli; Parmigiano Reggiano DOP; Sale fino; 

Pane injera|Facile|Basso|Senza lattosio; Vegetariano; |Farina di mais; Farina 00; Farina integrale; Acqua; Acqua; Lievito di birra secco; Bicarbonato; 

Pan brioche salato|Media|Molto basso|Vegetariano; |Uova; Farina 00; Zucchero; Lievito di birra secco; Burro; Sale fino; Tuorli; Panna fresca liquida; 

Filoncini alle olive|Difficile|Basso|Senza lattosio; Vegetariano; |Farina Manitoba; Acqua; Lievito di birra fresco; Semola di grano duro rimacinata; Acqua; Olive verdi; Olio extravergine d'oliva; Lievito di birra fresco; Sale fino; Farina 00; 

Pizza bianca romana|Difficile|Basso|Senza lattosio; Vegetariano; |Farina 0; Acqua; Sale fino; Lievito di birra fresco; Olio extravergine d'oliva; 

Briochine allo yogurt con gocce di cioccolato|Media|Basso|Vegetariano; |Farina 0; Farina Manitoba; Yogurt; Latte intero; Gocce di cioccolato fondente; Zucchero; Olio di semi di girasole; Miele; Uova; Tuorli; Lievito di birra secco; Sale fino; Scorza d'arancia; Uova; Latte intero; 

Panini alla birra|Facile|Basso|Senza lattosio; Vegetariano; |Farina 0; Birra rossa; Lievito di birra fresco; Sale fino; Bicarbonato; Semi di finocchio; Semi di sesamo; Fiocchi di sale; 

Bagel farcito|Difficile|Medio||Acqua; Farina 0; Sale fino; Lievito di birra secco; Malto; Semi di sesamo; Manzo; Caprino; Zucchine; Pomodori ramati; Lattuga; Sale fino; Pepe nero; Salmone affumicato; Caprino; Zucchine; Pomodori ramati; Sale fino; Pepe nero; Lattuga; Caprino; Zucchine; Pomodori ramati; Lattuga; Ravanelli; Carote; Cetrioli; 

Pane in cassetta integrale|Media|Basso|Vegetariano; |Farina integrale; Farina Manitoba; Latte intero; Acqua; Burro; Malto; Lievito di birra fresco; Sale fino; Acqua; Farina integrale; Olio extravergine d'oliva; 

Focaccia tuttigusti|Media|Basso||Latte; Farina 00; Lievito di birra secco; Acqua; Sale fino; Olio extravergine d'oliva; Zucchine; Melanzane; Olive nere; Capperi; Passata di pomodoro; Mozzarella; Prosciutto cotto; Acciughe sott'olio; Robiola; Origano; Cipolle rosse di Tropea; Tonno; 

Ravazzate siciliane|Difficile|Basso||Zucchero; Farina 00; Sale fino; Acqua; Lievito di birra secco; Strutto; Manzo; Salsiccia; Carote; Cipolle bianche; Concentrato di pomodoro; Vino bianco; Pisellini; Acqua; Alloro; Olio extravergine d'oliva; Sale fino; Pepe nero; Uova; Semi di sesamo; 

Pinza triestina|Media|Basso|Vegetariano; |Farina Manitoba; Acqua; Lievito di birra secco; Zucchero; Farina 00; Uova; Tuorli; Burro; Sale fino; Scorza di limone; Scorza d'arancia; Tuorli; Latte intero; 

Calzone di sponsali|Facile|Basso|Senza lattosio; |Sponsali; Olive verdi; Acciughe sott'olio; Olio extravergine d'oliva; Sale fino; Acqua; Acqua; Farina 00; Sale fino; Lievito di birra secco; Zucchero; 

Brioches allo yogurt senza uova|Media|Basso|Vegetariano; |Farina Manitoba; Farina 00; Yogurt greco; Latte intero; Burro; Zucchero; Zucchero di canna; Baccello di vaniglia; Lievito di birra secco; Sale fino; Latte intero; 

Rotolo di pizza farcito|Facile|Basso||Acqua; Farina 00; Olio extravergine d'oliva; Lievito di birra secco; Sale fino; Malto; Passata di pomodoro; Basilico; Mozzarella; Prosciutto cotto; Olio extravergine d'oliva; 

Treccia integrale|Difficile|Basso|Senza lattosio; Vegetariano; |Farina Manitoba; Farina integrale; Farina di farro integrale; Acqua; Sale fino; Lievito di birra secco; Gherigli di noci; Semi di zucca; Semi di papavero; Semi di girasole; Semi di sesamo; Semi di sesamo nero; 

Pan brioche ai semi di lino|Media|Basso|Vegetariano; |Farina 0; Farina Manitoba; Latte intero; Acqua; Zucchero di canna; Burro; Lievito di birra fresco; Semi di lino; Sale fino; Acqua; Farina 0; Tuorli; Latte intero; Semi di lino; 

Pandoro con lievito madre|Molto difficile|Basso|Vegetariano; |Farina 00; Tuorli; Lievito madre; Burro; Zucchero; Acqua; Farina 00; Burro; Zucchero; Miele di acacia; Tuorli; Pasta di arance; Burro di cacao; Sale fino; Baccello di vaniglia; Burro; Zucchero a velo; Zucchero a velo; 

Arepas venezuelane|Facile|Basso|Senza lattosio; Vegetariano; |Farina di mais bianco; Acqua; Olio di semi di mais; Sale fino; Olio di semi di mais; 

Pizza mascarpone speck e noci|Facile|Basso||Farina 0; Acqua; Olio extravergine d'oliva; Lievito di birra secco; Sale fino; Speck; Mascarpone; Gherigli di noci; Olio extravergine d'oliva; Origano; Mozzarella di bufala; Passata di pomodoro; Sale fino; 

Pane ai semi di lino|Facile|Basso|Senza lattosio; Vegetariano; |Farina di Kamuta; Lievito di birra secco; Semi di lino; Sale fino; Acqua; Olio extravergine d'oliva; 

Panini dolci con frutta|Media|Basso|Vegetariano; |Farina Manitoba; Farina 00; Lievito di birra secco; Zucchero; Latte intero; Scorza d'arancia; Burro; Sale fino; Prugne disidratate; Pere; Uova; 

Corona pasquale al cacao|Difficile||Latte intero; Farina Manitoba; Farina 00; Succo d'arancia; Lievito di birra secco; Burro; Uova; Zucchero; Granella di zucchero; Cacao amaro in polvere; Succo d'arancia; Burro; 

Pane alla birra|Difficile|Medio|Senza lattosio; Vegetariano; |Farina Manitoba; Farina integrale; Lievito di birra secco; Acqua; Sale fino; Birra scura; Farina Manitoba; Farina integrale; Lievito di birra secco; Sale fino; Farina integrale; 

Pane pasquale dolce|Media|Basso|Vegetariano; |Farina Manitoba; Farina 00; Burro; Latte intero; Latte condensato; Acqua; Uova; Lievito di birra secco; Sale fino; Uvetta; Uova; 

Kranz|Media||Vegetariano; |Farina Manitoba; Farina 00; Burro; Uova; Acqua; Zucchero; Miele; Lievito di birra secco; Baccello di vaniglia; Sale fino; Farina 00; Acqua; Burro; Farina Manitoba; Sale fino; Confettura di albicocche; Uvetta; Arancia candita; Succo d'arancia; Rum; Zucchero; Acqua; Uova; 

Ciabatta non impastata|Facile|Molto basso|Senza lattosio; Vegetariano; |Lievito di birra secco; Acqua; Sale fino; Farina 00; Malto; Farina di mais; Olio extravergine d'oliva; 

Pan di ramerino|Facile|Molto basso|Vegetariano; |Farina Manitoba; Farina 00; Lievito di birra secco; Uvetta; Zucchero; Rosmarino; Sale fino; Acqua; Tuorli; Olio extravergine d'oliva; 

Mafalde siciliane|Media|Basso|Senza lattosio; Vegetariano; |Semola di grano duro rimacinata; Acqua; Lievito di birra secco; Semola di grano duro rimacinata; Acqua; Lievito di birra secco; Sale fino; Semi di sesamo; 

Panini alle nocciole|Media|Basso|Senza lattosio; Vegetariano; |Acqua; Farina 00; Lievito di birra fresco; Sale fino; Farina integrale; Farina 00; Acqua; Lievito di birra fresco; Sale fino; Nocciole; Uova; Granella di nocciole; 

Puccia salentina alle olive|Media|Basso|Vegetariano; |Farina 00; Semola di grano duro rimacinata; Acqua; Lievito di birra secco; Malto; Patate; Farina 00; Semola di grano duro rimacinata; Olio extravergine d'oliva; Acqua; Sale fino; Olive nere; Semola di grano duro rimacinata; Mozzarella; Pomodori secchi sott'olio; 

Chiocciole salate verdure e pancetta|Facile||Acqua; Farina 00; Lievito di birra fresco; Olio extravergine d'oliva; Sale fino; Zucchero; Peperoni; Zucchine; Sale; Olio di oliva; Caciocavallo; Pancetta; 

Ghirlanda di pane|Media|Molto basso|Senza lattosio; Vegetariano; |Farina 0; Farina 00; Acqua; Lievito di birra secco; Sale fino; Farina 00; 

Challah|Media||Vegetariano; |Farina 0; Acqua; Lievito di birra secco; Farina Manitoba; Zucchero; Olio extravergine d'oliva; Miele; Acqua; Uova; Tuorli; Sale fino; Tuorli; Acqua; 

Piadina di grano saraceno con straccetti di pollo e chips al forno|Facile||Farina 00; Farina di grano saraceno; Strutto; Acqua; Sale fino; Lievito istantaneo per preparazioni salate; Miele; Zucchero; Latte intero; Petto di pollo; Olio extravergine d'oliva; Rosmarino; Maggiorana; Finocchietto selvatico; Paprika affumicata; Peperoncino in polvere; Origano; Zucchero di canna; Sale fino; Yogurt greco; Radicchio; Erba cipollina; Sale fino; Pepe nero; Patate novelle; Olio extravergine d'oliva; Rosmarino; Sale fino; Pepe nero; Ketchup; 

Pizza e mortazza|Difficile|Basso||Farina 0; Lievito di birra secco; Zucchero; Acqua; Olio extravergine d'oliva; Sale fino; Mortadella; Sale grosso; Olio extravergine d'oliva; 

Panzerotti ai broccoli e acciughe|Facile|Basso||Acqua; Lievito di birra secco; Zucchero; Farina 00; Olio extravergine d'oliva; Farina Manitoba; Sale grosso; Mozzarella; Broccoli; Acciughe sott'olio; Peperoncino fresco; Aglio; Olio di semi; 

Pizza pere e brie|Molto facile|Medio|Vegetariano; |Farina 0; Acqua; Lievito di birra secco; Olio extravergine d'oliva; Sale fino; Pere Williams; Brie; Mozzarella; Parmigiano Reggiano DOP; 

Treccia ai 4 formaggi|Difficile|Elevato||Latte intero; Farina 00; Zucchero; Lievito di birra secco; Farina 00; Uova; Tuorli; Burro; Sale fino; Grana Padano DOP; Gorgonzola; Pere kaiser; Scamorza (provola); Prosciutto cotto; Quartirolo Lombardo; Olive nere; Panna fresca liquida; Semi di sesamo nero; 

Pane alle noci senza glutine|Media|Basso|Senza lattosio; Vegetariano; |Fecola di patate; Farina di riso integrale; Farina di grano saraceno; Farina di mais; Lievito di birra secco; Miele; Acqua; Gherigli di noci; Olio di semi; 

Pizza marinara|Facile|Molto basso|Senza lattosio; Vegetariano; |Farina 0; Acqua; Lievito di birra secco; Sale fino; Olio extravergine d'oliva; Passata di pomodoro; Aglio; Origano; Sale fino; Pepe nero; 

Bombe fritte salate|Media|Medio|Vegetariano; |Farina Manitoba; Acqua; Lievito di birra secco; Farina Manitoba; Lievito di birra secco; Lievito istantaneo per preparazioni salate; Uova; Burro; Acqua; Sale fino; Malto; Latte intero; Panna fresca liquida; Farina 00; Burro; Tuorli; Asiago; Sale fino; Olio di semi di arachide; 

Focaccia di Carnevale|Media|Basso||Farina di grano duro; Farina 00; Acqua; Olio extravergine d'oliva; Lievito di birra fresco; Sale fino; Coppa di maiale; Mozzarella; Pomodori pelati; Pecorino; Cipolle bianche; Olio extravergine d'oliva; Sale fino; Pepe nero; Olio extravergine d'oliva; 

Viennoise au chocolat|Facile|Basso|Vegetariano; |Farina Manitoba; Latte intero; Gocce di cioccolato fondente; Burro; Zucchero; Lievito di birra secco; Sale fino; Tuorli; Panna fresca liquida; 

Focaccia di grano arso ai pomodorini|Facile|Medio|Senza lattosio; Vegetariano; |Farina di grano arso; Semola di grano duro rimacinata; Patate; Sale fino; Lievito di birra secco; Acqua; Olio extravergine d'oliva; Pomodori di Pachino; Olio extravergine d'oliva; Origano; Sale fino; Olio extravergine d'oliva; 

Ciaccia coi friccioli|Media||Senza lattosio; |Pancetta; Pasta per il pane; Olio extravergine d'oliva; Pepe nero; 

Pane alle carote|Media|Basso|Senza lattosio; Vegetariano; |Farina Manitoba; Lievito di birra secco; Acqua; Carote; Farina 00; Acqua; Sale fino; Lievito di birra secco; Olio extravergine d'oliva; Farina 00; 

Focaccia al crudo e fichi|Media|Basso||Farina Manitoba; Miele; Olio extravergine d'oliva; Lievito di birra secco; Burro; Sale fino; Acqua; Fichi; Prosciutto crudo; Timo; Miele; Sale grosso; Olio extravergine d'oliva; 

Panini alle cime di rapa|Media|Basso|Senza lattosio; Vegetariano; |Farina 00; Cime di rapa; Acqua; Olio extravergine d'oliva; Lievito di birra fresco; Miele millefiori; Sale fino; Farina 00; 

Focaccine ai fiocchi d'avena|Media||Senza lattosio; Vegetariano; |Fiocchi di avena; Lievito di birra secco; Farina 1; Farina integrale; Olio extravergine d'oliva; Sale fino; Acqua; Fiocchi di sale; Acqua; Sale fino; Olio extravergine d'oliva; 

Pizza dolce con confettura di fragole|Media|Basso|Vegetariano; |Farina Manitoba; Latte intero; Lievito di birra secco; Miele millefiori; Sale fino; Olio extravergine d'oliva; Scorza di limone; Latte intero; Amido di mais (maizena); Zucchero; Baccello di vaniglia; Miele millefiori; Panna fresca liquida; Confettura di fragole; Pesche; Mele verdi; Mirtilli; Fragole; Menta; 

Pan brioche al farro|Media|Medio|Vegetariano; |Farina di farro; Farina 00; Farina Manitoba; Latte intero; Lievito di birra secco; Sale fino; Uova; Tuorli; Zucchero; Acqua; Burro; Semi di sesamo; Semi di papavero; Uova; Latte; 

Pane al topinambur|Media|Basso|Senza lattosio; Vegetariano; |Topinambur; Farina 0; Farina integrale; Acqua; Miele millefiori; Lievito di birra fresco; Sale fino; 

Pane esse|Media|Molto basso|Senza lattosio; |Farina Manitoba; Acqua; Lievito di birra fresco; Farina Manitoba; Farina 00; Biga; Acqua; Olio extravergine d'oliva; Strutto; Lievito di birra fresco; Sale fino; 

Monkey bread|Media|Basso|Vegetariano; |Farina 00; Latte intero; Acqua; Zucchero; Uova; Tuorli; Lievito di birra secco; Sale fino; Zucchero di canna; Burro; Cannella in polvere; Marmellata di arance; Zucchero a velo; Latte intero; 

Corona lievitata di albicocche e moscato|Media|Basso|Vegetariano; |Farina Manitoba; Lievito di birra secco; Acqua; Farina Manitoba; Zucchero; Miele; Sale fino; Burro; Tuorli; Baccello di vaniglia; Albicocche sciroppate; Confettura di albicocche; Uva passa; Mandorle in scaglie; 

Pane tricolore|Media|Basso|Vegetariano; |Farina Manitoba; Farina 00; Uova; Lievito di birra secco; Concentrato di pomodoro; Spinaci; Burro; Paprika dolce; Acqua; Malto; Sale fino; 

Pizza crudaiola|Facile|Basso|Vegetariano; |Farina 0; Acqua; Lievito di birra secco; Olio extravergine d'oliva; Sale fino; Carote baby; Zucchine; Olive nere; Pomodori di Pachino; Mozzarella; Sale fino; Pepe nero; Timo; Olio extravergine d'oliva; 

Cornbread|Facile|Basso|Vegetariano; |Farina di mais; Farina 00; Lievito istantaneo per preparazioni salate; Burro; Latte intero; Uova; Sale fino; 

Ciambella alla frutta|Media|Medio|Vegetariano; |Zucchero; Farina 00; Lievito di birra secco; Uova; Latte condensato; Burro; Succo d'arancia; Liquore; Frutta disidratata; Albumi; Granella di zucchero; 

Pane intrecciato ripieno|Media|Basso||Farina Manitoba; Acqua; Lievito di birra secco; Malto; Farina 0; Acqua; Burro; Pecorino; Sale fino; Tuorli; Pisellini; Mortadella; Fontal; Pecorino; Granella di pistacchi; Uova; 

Lahuh (pane Yemenita)|Facile||Senza lattosio; Vegetariano; |Pane toscano; Farina 00; Lievito di birra secco; Sale fino; Zucchero; Acqua; Olio di semi; 

Jerusalem bagel|Facile|Basso|Vegetariano; |Farina Manitoba; Lievito di birra fresco; Zucchero; Olio extravergine d'oliva; Latte in polvere; Acqua; Sale fino; Uova; Zucchero; Semi di sesamo; Semi di sesamo nero; 

Panini ai fichi secchi|Media|Basso|Senza lattosio; Vegetariano; |Fichi secchi; Farina 1; Acqua; Lievito di birra fresco; Olio extravergine d'oliva; Sale fino; Miele millefiori; 

Colomba veloce ai frutti rossi|Difficile|Medio|Vegetariano; |Farina Manitoba; Acqua; Lievito di birra secco; Farina Manitoba; Zucchero; Burro; Latte intero; Latte condensato; Uova; Baccello di vaniglia; Scorza di limone; Scorza d'arancia; Olio extravergine d'oliva; Farina Manitoba; Burro; Uova; Frutti di bosco disidratati; Succo d'arancia; Mandorle in scaglie; Granella di zucchero; Mandorle pelate; Zucchero di canna; Latte condensato; Farina di mais fioretto; Amido di mais (maizena); Albumi; 

Ciambelline al forno con milkshake|Media|Basso|Vegetariano; |Farina Manitoba; Farina 00; Uova; Tuorli; Latte intero; Zucchero; Lievito di birra secco; Malto; Burro; Scorza di limone; Vaniglia; Sale fino; Uova; Acqua; Granella di zucchero; Semi di papavero; Fragole; Banane; Latte; 

Fougasse|Media|Molto basso|Senza lattosio; Vegetariano; |Farina Manitoba; Acqua; Lievito di birra secco; Farina Manitoba; Olio extravergine d'oliva; Acqua; Sale fino; 

Pizza con mortadella e bufala|Media|Basso||Acqua; Farina 0; Olio extravergine d'oliva; Lievito di birra fresco; Sale fino; Mozzarella di bufala; Mortadella; Olio extravergine d'oliva; Basilico; 

Focaccia dolce alle pesche e albicocche|Media||Senza lattosio; Vegetariano; |Acqua; Farina Manitoba; Miele; Olio extravergine d'oliva; Sale fino; Lievito di birra secco; Albicocche; Pesche noci; Zucchero; Olio extravergine d'oliva; Olio extravergine d'oliva; 

Pizza mare orto|Difficile|Medio||Farina Manitoba; Farina 00; Acqua; Sale fino; Lievito di birra fresco; Tonno sott'olio; Passata di pomodoro; Pomodorini datterini; Fiori di zucca; Burrata; Capperi sotto sale; Basilico; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Focaccia di grano arso ripiena|Facile|Elevato|Vegetariano; |Farina di grano arso; Semola di grano duro rimacinata; Acqua; Olio extravergine d'oliva; Sale fino; Lievito di birra secco; Caciocavallo; Pomodori secchi sott'olio; Olive nere infornate; Olio extravergine d'oliva; 

Pane con le barbabietole|Difficile|Basso|Senza lattosio; Vegetariano; |Lievito di birra secco; Farina 00; Acqua; Acqua; Farina 00; Sale fino; Lievito di birra secco; Barbabietole; Olio extravergine d'oliva; 

Pane al pata di olive|Media|Basso|Senza lattosio; Vegetariano; |Farina di farro; Farina Manitoba; Lievito di birra secco; Malto; Sale fino; Acqua; Pata di olive; Olive taggiasche; Olio extravergine d'oliva; Semi di sesamo nero; Semi di girasole; 

Rizzuole con raga besciamella e piselli|Facile|Medio||Acqua; Farina 00; Zucchero; Sale fino; Lievito di birra secco; Strutto; Manzo; Salsiccia; Carote; Cipolle bianche; Concentrato di pomodoro; Vino bianco; Pisellini; Acqua; Alloro; Olio extravergine d'oliva; Sale fino; Pepe nero; Latte intero; Burro; Farina 00; Sale fino; Noce moscata; Uova; Pangrattato; Olio di semi; 

Focaccia di grano arso con patate e acciughe|Media|Medio|Senza lattosio; |Farina di grano arso; Semola di grano duro rimacinata; Patate; Lievito di birra secco; Olio extravergine d'oliva; Acqua; Sale fino; Timo; Patate; Acciughe sott'olio; 

